x,y,distortion
1,2,0.7686
1,3,0.7508
1,4,0.7864
1,5,0.8082
1,6,0.7292
1,7,0.7843
1,8,0.7774
1,9,0.7854
1,10,0.7546
1,11,0.7672
1,12,0.7648
1,13,0.7970
1,14,0.7907
1,15,0.7842
1,16,0.7727
1,17,0.7509
1,18,0.7966
1,19,0.7712
1,20,0.7701
2,1,0.7686
2,3,0.7783
2,4,0.7961
2,5,0.7961
2,6,0.7576
2,7,0.7963
2,8,0.8159
2,9,0.8005
2,10,0.7980
2,11,0.7968
2,12,0.7750
2,13,0.7973
2,14,0.7961
2,15,0.7928
2,16,0.7960
2,17,0.7625
2,18,0.8070
2,19,0.7727
2,20,0.7999
3,1,0.7508
3,2,0.7783
3,4,0.8093
3,5,0.8143
3,6,0.7782
3,7,0.8168
3,8,0.7919
3,9,0.8296
3,10,0.8147
3,11,0.7688
3,12,0.8133
3,13,0.7707
3,14,0.8058
3,15,0.8339
3,16,0.8220
3,17,0.7598
3,18,0.7981
3,19,0.8227
3,20,0.8156
4,1,0.7864
4,2,0.7961
4,3,0.8093
4,5,0.8054
4,6,0.7862
4,7,0.8038
4,8,0.8271
4,9,0.8063
4,10,0.7826
4,11,0.7791
4,12,0.7681
4,13,0.7798
4,14,0.7994
4,15,0.7993
4,16,0.7801
4,17,0.7763
4,18,0.8140
4,19,0.8331
4,20,0.7871
5,1,0.8082
5,2,0.7961
5,3,0.8143
5,4,0.8054
5,6,0.7904
5,7,0.8166
5,8,0.8143
5,9,0.8137
5,10,0.7928
5,11,0.7940
5,12,0.7767
5,13,0.8013
5,14,0.7754
5,15,0.8238
5,16,0.8213
5,17,0.7659
5,18,0.7641
5,19,0.8077
5,20,0.8306
6,1,0.7292
6,2,0.7576
6,3,0.7782
6,4,0.7862
6,5,0.7904
6,7,0.7878
6,8,0.7750
6,9,0.7831
6,10,0.7751
6,11,0.7482
6,12,0.7805
6,13,0.7847
6,14,0.7752
6,15,0.7698
6,16,0.7759
6,17,0.7395
6,18,0.7780
6,19,0.8052
6,20,0.7983
7,1,0.7843
7,2,0.7963
7,3,0.8168
7,4,0.8038
7,5,0.8166
7,6,0.7878
7,8,0.8078
7,9,0.7989
